Name,Team Name,BA_Pos,Position,Bats,Throws,List_Year,BA_Rank,Made_MLB,RookieYear,RookieYear2,WAR,Year2,WAR_Year2,Year3,WAR_Year3,Total_WAR,Group
Oscar Taveras,St. Louis Cardinals,CF-RF,RF,L,L,2014,3,1,2014,2014,-0.9,2015,,2016,,-0.9,Top 10
Carlos Correa,Houston Astros,SS-DH,SS,R,R,2015,4,1,2015,2015,3.4,2016,5.2,2017,5.1,13.7,Top 10
Wil Myers,Tampa Bay Rays,LF-CF,LF,R,R,2013,4,1,2013,2013,2.3,2014,-0.1,2015,1,3.2,Top 10
Domonic Brown,Philadelphia Phillies,RF-LF,RF,L,L,2011,4,1,2010,2011,-0.3,2012,0.1,2013,2.4,2.2,Top 10
Javier Baez,Chicago Cubs,SS-2B,SS,R,R,2014,5,1,2014,2014,-0.8,2015,0.4,2016,2.2,1.8,Top 10
Jesus Montero,Seattle Mariners,C-1B,C,R,R,2012,6,1,2011,2012,-1.4,2013,-1.1,2014,0,-2.5,Top 10
Buster Posey,San Francisco Giants,C-1B-,C,R,R,2010,7,1,2009,2010,4,2011,1.8,2012,10.1,15.9,Top 10
Cody Bellinger,Los Angeles Dodgers,1B-RF,1B,L,L,2017,7,1,2017,2017,4,2018,3.6,2019,7.8,15.4,Top 10
Joc Pederson,Los Angeles Dodgers,LF-OF,LF,L,L,2015,8,1,2014,2015,3.1,2016,3.5,2017,0.6,7.2,Top 10
Amed Rosario,New York Mets,SS-DH,SS,R,R,2017,8,1,2017,2017,0.3,2018,1.5,2019,2.7,4.5,Top 10
Pedro Alvarez,Pittsburgh Pirates,DH-3B,3B,L,R,2010,8,1,2010,2010,1.5,2011,-1,2012,2.5,3,Top 10
Eric Hosmer,Kansas City Royals,1B-DH,1B,L,L,2011,8,1,2011,2011,1.1,2012,-1.3,2013,3.1,2.9,Top 10
Orlando Arcia,Milwaukee Brewers,SS,SS,R,R,2016,8,1,2016,2016,-0.3,2017,1.4,2018,-0.4,0.7,Top 10
Francisco Lindor,Cleveland Indians,SS-DH,SS,B,R,2015,9,1,2015,2015,4,2016,5.5,2017,5.7,15.2,Top 10
Trea Turner,Washington Nationals,SS,SS,R,R,2016,9,1,2015,2016,3.3,2017,2.8,2018,4.8,10.9,Top 10
Mike Moustakas,Kansas City Royals,3B-2B,3B,L,R,2011,9,1,2011,2011,0.3,2012,3.2,2013,0.4,3.9,Top 10
Gregory Polanco,Pittsburgh Pirates,RF-OF,RF,L,L,2014,10,1,2014,2014,0.5,2015,2.2,2016,2.2,4.9,Top 10
Joey Gallo,Texas Rangers,LF-OF,LF,L,R,2016,10,1,2015,2015,0.5,2016,-0.4,2017,2.7,2.8,Top 10
Carlos Santana,Cleveland Indians,1B-DH,1B,B,R,2010,10,1,2010,2010,1.6,2011,0.3,2012,0,1.9,Top 10
Ozzie Albies,Atlanta Braves,2B,2B,B,R,2017,11,1,2017,2017,1.9,2018,3.8,2019,4.6,10.3,11 - 25
Manny Machado,Baltimore Orioles,SS-3B,SS,R,R,2012,11,1,2012,2012,1.3,2013,5,2014,2.3,8.6,11 - 25
Dustin Ackley,Seattle Mariners,LF-2B,LF,L,R,2011,12,1,2011,2011,3,2012,2.1,2013,1.2,6.3,11 - 25
Alcides Escobar,Milwaukee Brewers,SS-3B,SS,R,R,2010,12,1,2008,2010,0.4,2011,1.9,2012,2.6,4.9,11 - 25
Jorge Soler,Chicago Cubs,DH-RF,RF,R,R,2015,12,1,2014,2015,0.3,2016,0.8,2017,-0.9,0.2,11 - 25
Miguel Sano,Minnesota Twins,3B-1B,3B,R,R,2015,13,1,2015,2015,2,2016,1.2,2017,2.4,5.6,11 - 25
Justin Smoak,Texas Rangers,1B-DH,1B,B,L,2010,13,1,2010,2010,-0.4,2011,0.6,2012,-0.8,-0.6,11 - 25
Yoenis Cespedes,Oakland Athletics,LF-OF,LF,R,R,2012,14,1,2012,2012,4,2013,1.9,2014,3.5,9.4,11 - 25
Christian Yelich,Miami Marlins,RF-OF,RF,L,R,2013,15,1,2013,2013,1.8,2014,4.1,2015,2.4,8.3,11 - 25
Starlin Castro,Chicago Cubs,2B-3B,2B,R,R,2010,16,1,2010,2010,1.8,2011,2.7,2012,3.1,7.6,11 - 25
Devin Mesoraco,Cincinnati Reds,C-1B-,C,R,R,2012,16,1,2011,2012,0.4,2013,-1,2014,4.2,3.6,11 - 25
Freddie Freeman,Atlanta Braves,1B,1B,L,R,2011,17,1,2010,2011,0.6,2012,1.7,2013,5,7.3,11 - 25
Mike Zunino,Seattle Mariners,C-DH,C,R,R,2013,17,1,2013,2013,0.8,2014,3.8,2015,0.7,5.3,11 - 25
Blake Swihart,Boston Red Sox,RF-C-,C,B,R,2015,17,1,2015,2015,0.9,2016,0.3,2017,0,1.2,11 - 25
George Springer,Philadelphia Phillies,CF-RF,CF,R,R,2014,18,1,2014,2014,1.9,2015,3.9,2016,5,10.8,11 - 25
